countyName,perCapitaPersonalIncome
"Marion, FL",25770
"Martin, FL",48801
"Miami-Dade, FL",29830
"Monroe, FL",44016
"Nassau, FL",35910
"Okaloosa, FL",32919
"Okeechobee, FL",20462
"Orange, FL",30069
"Osceola, FL",21025
"Palm Beach, FL",48422
"Pasco, FL",25045
"Pinellas, FL",36055
"Polk, FL",27736
"Putnam, FL",20848
"St. Johns, FL",41834
"St. Lucie, FL",25782
"Santa Rosa, FL",26642
"Sarasota, FL",46440
"Seminole, FL",36480
"Sumter, FL",20868
"Suwannee, FL",22123
"Taylor, FL",21679
"Union, FL",15215
"Volusia, FL",27206
"Wakulla, FL",23073
"Walton, FL",23705
"Washington, FL",20107
"Appling, GA",20476
"Atkinson, GA",19177
"Bacon, GA",19938
"Baker, GA",19476
"Baldwin, GA",23263
"Banks, GA",25998
"Barrow, GA",24157
"Bartow, GA",26345
"Ben Hill, GA",23246
"Berrien, GA",23310
"Bibb, GA",30128
"Bleckley, GA",23623
"Brantley, GA",20352
"Brooks, GA",21295
"Bryan, GA",27956
"Bulloch, GA",19837
"Burke, GA",19263
"Butts, GA",22579
"Calhoun, GA",17816
"Camden, GA",24129
"Candler, GA",21001
"Carroll, GA",23804
"Catoosa, GA",23916
"Charlton, GA",17403
"Chatham, GA",31955
"Chattahoochee, GA",16706
"Chattooga, GA",19381
"Cherokee, GA",30726
"Clarke, GA",22469
"Clay, GA",24196
"Clayton, GA",21992
"Clinch, GA",18315
"Cobb, GA",37924
"Coffee, GA",21425
"Colquitt, GA",20581
"Columbia, GA",33260
"Cook, GA",18606
"Coweta, GA",27888
"Crawford, GA",23591
"Crisp, GA",21575
"Dade, GA",22428
"Dawson, GA",29297
"Decatur, GA",21163
"DeKalb, GA",33901
"Dodge, GA",19345
"Dooly, GA",19557
"Dougherty, GA",24962
"Douglas, GA",26221
"Early, GA",24140
"Echols, GA",17347
"Effingham, GA",24501
"Elbert, GA",22781
"Emanuel, GA",21073
"Evans, GA",20878
"Fannin, GA",22776
"Fayette, GA",38799
"Floyd, GA",27108
"Forsyth, GA",33016
"Franklin, GA",24521
"Fulton, GA",47532
"Gilmer, GA",22867
"Glascock, GA",21917
"Glynn, GA",33458
"Gordon, GA",24230
"Grady, GA",20875
"Greene, GA",26489
"Gwinnett, GA",30356
"Habersham, GA",24150
"Hall, GA",25923
"Hancock, GA",17184
"Haralson, GA",23151
"Harris, GA",33448
"Hart, GA",21972
"Heard, GA",20613
"Henry, GA",26261
"Houston, GA",27059
"Irwin, GA",20192
"Jackson, GA",25661
"Jasper, GA",23126
"Jeff Davis, GA",21110
"Jefferson, GA",20476
"Jenkins, GA",18760
"Johnson, GA",19023
"Jones, GA",25310
"Lamar, GA",23872
"Lanier, GA",21193
"Laurens, GA",23802
"Lee, GA",22652
"Liberty, GA",21003
"Lincoln, GA",22587
"Long, GA",17880
"Lowndes, GA",24219
"Lumpkin, GA",23685
"McDuffie, GA",26036
"McIntosh, GA",20905
"Macon, GA",20014
"Madison, GA",25465
"Marion, GA",23619
"Meriwether, GA",20948
"Miller, GA",23723
"Mitchell, GA",18813
"Monroe, GA",27373
"Montgomery, GA",19774
"Morgan, GA",29551
"Murray, GA",21532
"Muscogee, GA",29702
"Newton, GA",22271
"Oconee, GA",33304
"Oglethorpe, GA",23691
"Paulding, GA",24073
"Peach, GA",23167
"Pickens, GA",29796
"Pierce, GA",21363
"Pike, GA",24472
"Polk, GA",21090
"Pulaski, GA",25728
"Putnam, GA",26527
"Quitman, GA",22229
"Rabun, GA",24969
"Randolph, GA",20268
"Richmond, GA",25261
"Rockdale, GA",28920
"Schley, GA",21920
"Screven, GA",19667
"Seminole, GA",22284
"Spalding, GA",24721
"Stephens, GA",24084
"Stewart, GA",21774
"Sumter, GA",23321
"Talbot, GA",20562
"Taliaferro, GA",19680
"Tattnall, GA",20306
"Taylor, GA",20166
"Telfair, GA",17344
"Terrell, GA",20603
"Thomas, GA",27361
"Tift, GA",23426
"Toombs, GA",22767
"Towns, GA",25417
"Treutlen, GA",16948
"Troup, GA",25980
"Turner, GA",19863
"Twiggs, GA",19961
"Union, GA",23975
"Upson, GA",20886
"Walker, GA",23156
"Walton, GA",25234
"Ware, GA",21888
"Warren, GA",20758
"Washington, GA",23845
"Wayne, GA",21981
"Webster, GA",23640
"Wheeler, GA",17347
"White, GA",23346
"Whitfield, GA",29031
"Wilcox, GA",20533
"Wilkes, GA",21593
"Wilkinson, GA",21160
"Worth, GA",22888
"Hawaii, HI",25373
"Honolulu, HI",34953
"Kalawao, HI",0
"Kauai, HI",27650
"Maui, HI",29536
"Ada, ID",37700
"Adams, ID",26267
"Bannock, ID",24109
"Bear Lake, ID",21233
"Benewah, ID",23701
"Bingham, ID",21243
"Blaine, ID",51013
"Boise, ID",23371
"Bonner, ID",23890
"Bonneville, ID",28552
"Boundary, ID",19090
"Butte, ID",23729
"Camas, ID",25260
"Canyon, ID",19683
"Caribou, ID",25519
"Cassia, ID",24288
"Clark, ID",26171
"Clearwater, ID",24207
"Custer, ID",23479
"Elmore, ID",24144
"Franklin, ID",21958
"Fremont, ID",19920
"Gem, ID",21117
"Gooding, ID",30234
"Idaho, ID",21611
"Jefferson, ID",21192
"Jerome, ID",26917
"Kootenai, ID",26125
"Latah, ID",24973
"Lemhi, ID",23131
"Lewis, ID",26299
"Lincoln, ID",22222
"Madison, ID",14342
"Minidoka, ID",19637
"Nez Perce, ID",27488
"Oneida, ID",18314
"Owyhee, ID",21978
"Payette, ID",23582
"Power, ID",20557
"Shoshone, ID",25101
"Teton, ID",23131
"Twin Falls, ID",25392
"Valley, ID",32696
"Washington, ID",21402
"Adams, IL",29111
"Alexander, IL",18919
"Bond, IL",26081
"Boone, IL",27354
"Brown, IL",21343
"Bureau, IL",29562
"Calhoun, IL",25530
"Carroll, IL",26039
"Cass, IL",26696
"Champaign, IL",29029
"Christian, IL",26746
"Clark, IL",25850
"Clay, IL",25745
"Clinton, IL",30434
"Coles, IL",25032
"Cook, IL",37772
"Crawford, IL",26507
"Cumberland, IL",26419
"DeKalb, IL",26900
"De Witt, IL",28193
"Douglas, IL",27808
"DuPage, IL",47274
"Edgar, IL",25227
"Edwards, IL",26587
"Effingham, IL",28302
"Fayette, IL",22517
"Ford, IL",30544
"Franklin, IL",22875
"Fulton, IL",25611
"Gallatin, IL",22849
"Greene, IL",23509
"Grundy, IL",31108
"Hamilton, IL",23677
"Hancock, IL",27301
"Hardin, IL",20922
"Henderson, IL",25932
"Henry, IL",28776
"Iroquois, IL",26643
"Jackson, IL",25759
"Jasper, IL",27797
"Jefferson, IL",24915
"Jersey, IL",28258
"Jo Daviess, IL",33765
"Johnson, IL",18726
"Kane, IL",31742
"Kankakee, IL",26552
"Kendall, IL",30522
"Knox, IL",25528
"Lake, IL",48353
"LaSalle, IL",27774
"Lawrence, IL",24617
"Lee, IL",26619
"Livingston, IL",30169
"Logan, IL",24378
"McDonough, IL",23105
"McHenry, IL",34435
"McLean, IL",32288
"Macon, IL",31342
"Macoupin, IL",26980
"Madison, IL",29585
"Marion, IL",25220
"Marshall, IL",29715
"Mason, IL",26836
"Massac, IL",24449
"Menard, IL",31323
"Mercer, IL",28528
"Monroe, IL",33461
"Montgomery, IL",24036
"Morgan, IL",25926
"Moultrie, IL",26526
"Ogle, IL",26950
"Peoria, IL",32459
"Perry, IL",21130
"Piatt, IL",33005
"Pike, IL",24465
"Pope, IL",21670
"Pulaski, IL",20485
"Putnam, IL",30254
"Randolph, IL",23290
"Richland, IL",24943
"Rock Island, IL",30319
"St. Clair, IL",28848
"Saline, IL",24221
"Sangamon, IL",33295
"Schuyler, IL",28564
"Scott, IL",24017
"Shelby, IL",24622
"Stark, IL",28629
"Stephenson, IL",28866
"Tazewell, IL",31679
"Union, IL",23498
"Vermilion, IL",24754
"Wabash, IL",26527
"Warren, IL",24335
"Washington, IL",29859
"Wayne, IL",26039
"White, IL",27559
"Whiteside, IL",26338
"Will, IL",30689
"Williamson, IL",25911
"Winnebago, IL",27785
"Woodford, IL",31456
"Adams, IN",25200
"Allen, IN",30705
"Bartholomew, IN",32693
"Benton, IN",27712
"Blackford, IN",22984
"Boone, IN",42677
"Brown, IN",30222
"Carroll, IN",27362
"Cass, IN",26196
"Clark, IN",28593
"Clay, IN",23645
"Clinton, IN",25152
"Crawford, IN",22372
"Daviess, IN",26060
"Dearborn, IN",30635
"Decatur, IN",26818
"DeKalb, IN",27312
"Delaware, IN",25636
"Dubois, IN",34976
"Elkhart, IN",30685
"Fayette, IN",26198
"Floyd, IN",33725
"Fountain, IN",25477
"Franklin, IN",27204
"Fulton, IN",26337
"Gibson, IN",29154
"Grant, IN",24949
"Greene, IN",24379
"Hamilton, IN",43139
"Hancock, IN",35706
"Harrison, IN",27670
"Hendricks, IN",31448
"Henry, IN",26123
"Howard, IN",29626
"Huntington, IN",26982
"Jackson, IN",27227
"Jasper, IN",26805
"Jay, IN",24051
"Jefferson, IN",25379
"Jennings, IN",24182
"Johnson, IN",31026
"Knox, IN",27050
"Kosciusko, IN",31577
"LaGrange, IN",22001
"Lake, IN",28255
"LaPorte, IN",26351
"Lawrence, IN",25614
"Madison, IN",27455
"Marion, IN",34427
"Marshall, IN",26162
"Martin, IN",25016
"Miami, IN",23237
"Monroe, IN",26084
"Montgomery, IN",26830
"Morgan, IN",29790
"Newton, IN",25208
"Noble, IN",25252
"Ohio, IN",24481
"Orange, IN",22317
"Owen, IN",23685
"Parke, IN",22862
"Perry, IN",25428
"Pike, IN",24105
"Porter, IN",34381
"Posey, IN",31213
"Pulaski, IN",26443
"Putnam, IN",25701
"Randolph, IN",25354
"Ripley, IN",26439
"Rush, IN",28421
"St. Joseph, IN",31383
"Scott, IN",23729
"Shelby, IN",29580
"Spencer, IN",27940
"Starke, IN",20624
"Steuben, IN",26435
"Sullivan, IN",21955
"Switzerland, IN",22183
"Tippecanoe, IN",26050
"Tipton, IN",30994
"Union, IN",27907
"Vanderburgh, IN",32635
"Vermillion, IN",26756
"Vigo, IN",25824
"Wabash, IN",26864
"Warren, IN",25693
"Warrick, IN",32594
"Washington, IN",24276
"Wayne, IN",26727
"Wells, IN",26925
"White, IN",24880
"Whitley, IN",27854
"Adair, IA",30095
"Adams, IA",28800
"Allamakee, IA",25415
"Appanoose, IA",23783
"Audubon, IA",31217
"Benton, IA",27867
"Black Hawk, IA",29047
"Boone, IA",30617
"Bremer, IA",31043
"Buchanan, IA",26808
"Buena Vista, IA",27686
"Butler, IA",27799
"Calhoun, IA",27924
"Carroll, IA",30763
"Cass, IA",28347
"Cedar, IA",30343
"Cerro Gordo, IA",31189
"Cherokee, IA",29903
"Chickasaw, IA",27699
"Clarke, IA",24922
"Clay, IA",29037
"Clayton, IA",27295
"Clinton, IA",27140
"Crawford, IA",26556
"Dallas, IA",34870
"Davis, IA",23122
"Decatur, IA",20717
"Delaware, IA",27651
"Des Moines, IA",29204
"Dickinson, IA",34186
"Dubuque, IA",29296
"Emmet, IA",28308
"Fayette, IA",24722
"Floyd, IA",27911
"Franklin, IA",29502
"Fremont, IA",30477
"Greene, IA",27974
"Grundy, IA",31811
"Guthrie, IA",30073
"Hamilton, IA",30209
"Hancock, IA",31528
"Hardin, IA",27611
"Harrison, IA",27613
"Henry, IA",26695
"Howard, IA",27586
"Humboldt, IA",30308
"Ida, IA",29668
"Iowa, IA",32551
"Jackson, IA",25726
"Jasper, IA",28573
"Jefferson, IA",28306
"Johnson, IA",32250
"Jones, IA",23933
"Keokuk, IA",27183
"Kossuth, IA",30774
"Lee, IA",26996
"Linn, IA",33541
"Louisa, IA",27011
"Lucas, IA",22995
"Lyon, IA",26373
"Madison, IA",29535
"Mahaska, IA",27752
"Marion, IA",27996
"Marshall, IA",29416
"Mills, IA",34625
"Mitchell, IA",27080
"Monona, IA",26267
"Monroe, IA",27946
"Montgomery, IA",27602
"Muscatine, IA",31577
"O'Brien, IA",29424
"Osceola, IA",26196
"Page, IA",27669
"Palo Alto, IA",27045
"Plymouth, IA",30944
"Pocahontas, IA",28001
"Polk, IA",37952
"Pottawattamie, IA",29473
"Poweshiek, IA",30786
"Ringgold, IA",24852
"Sac, IA",30167
"Scott, IA",33650
"Shelby, IA",28652
"Sioux, IA",28656
"Story, IA",29723
"Tama, IA",26676
"Taylor, IA",25304
"Union, IA",25786
"Van Buren, IA",23217
"Wapello, IA",26241
"Warren, IA",30844
"Washington, IA",30515
"Wayne, IA",23175
"Webster, IA",27941
"Winnebago, IA",27124
"Winneshiek, IA",30985
"Woodbury, IA",27804
"Worth, IA",24424
"Wright, IA",32766
"Allen, KS",24200
"Anderson, KS",22792
"Atchison, KS",23433
"Barber, KS",24212
"Barton, KS",28340
"Bourbon, KS",23881
"Brown, KS",26129
"Butler, KS",29348
"Chase, KS",31450
"Chautauqua, KS",24707
"Cherokee, KS",23586
"Cheyenne, KS",15934
"Clark, KS",24213
"Clay, KS",29494
"Cloud, KS",23657
"Coffey, KS",30236
"Comanche, KS",19706
"Cowley, KS",26063
"Crawford, KS",23201
"Decatur, KS",21118
"Dickinson, KS",25299
"Doniphan, KS",21885
"Douglas, KS",26457
"Edwards, KS",27233
"Elk, KS",21426
"Ellis, KS",29385
"Ellsworth, KS",24410
"Finney, KS",21121
"Ford, KS",24000
"Franklin, KS",25294
"Geary, KS",28269
"Gove, KS",23764
"Graham, KS",26183
"Grant, KS",26287
"Gray, KS",27721
"Greeley, KS",25274
"Greenwood, KS",22767
"Hamilton, KS",28160
"Harper, KS",24944
"Harvey, KS",28575
"Haskell, KS",33605
"Hodgeman, KS",25919
"Jackson, KS",27455
"Jefferson, KS",25248
"Jewell, KS",26396
"Johnson, KS",46320
"Kearny, KS",21226
"Kingman, KS",24754
"Kiowa, KS",27779
"Labette, KS",24976
"Lane, KS",25244
"Leavenworth, KS",27623
"Lincoln, KS",20684
"Linn, KS",24019
"Logan, KS",20308
"Lyon, KS",22997
"McPherson, KS",30168
"Marion, KS",22860
"Marshall, KS",31756
"Meade, KS",25545
"Miami, KS",29633
"Mitchell, KS",26492
"Montgomery, KS",25058
"Morris, KS",24228
"Morton, KS",21338
"Nemaha, KS",29203
"Neosho, KS",23849
"Ness, KS",29605
"Norton, KS",22708
"Osage, KS",23939
"Osborne, KS",23018
"Ottawa, KS",23039
"Pawnee, KS",25261
"Phillips, KS",27350
"Pottawatomie, KS",27746
"Pratt, KS",27665
"Rawlins, KS",21885
"Reno, KS",25566
"Republic, KS",23158
"Rice, KS",20967
"Riley, KS",26279
"Rooks, KS",23584
"Rush, KS",21793
"Russell, KS",23260
"Saline, KS",29220
"Scott, KS",28082
"Sedgwick, KS",33153
"Seward, KS",24025
"Shawnee, KS",30537
"Sheridan, KS",31317
"Sherman, KS",21923
"Smith, KS",24562
"Stafford, KS",25539
"Stanton, KS",28286
"Stevens, KS",27509
"Sumner, KS",26810
"Thomas, KS",24878
"Trego, KS",19561
"Wabaunsee, KS",26804
"Wallace, KS",23394
"Washington, KS",24085
"Wichita, KS",28375
"Wilson, KS",24243
"Woodson, KS",21197
"Wyandotte, KS",22845
"Adair, KY",19412
"Allen, KY",21529
"Anderson, KY",25084
"Ballard, KY",27970
"Barren, KY",23550
"Bath, KY",19583
"Bell, KY",18809
"Boone, KY",30615
"Bourbon, KY",28983
"Boyd, KY",26825
"Boyle, KY",25087
"Bracken, KY",21892
"Breathitt, KY",18451
"Breckinridge, KY",21083
"Bullitt, KY",24459
"Butler, KY",18738
"Caldwell, KY",24031
"Calloway, KY",24074
"Campbell, KY",30252
"Carlisle, KY",23622
"Carroll, KY",25359
"Carter, KY",18568
"Casey, KY",18191
"Christian, KY",23289
"Clark, KY",28220
"Clay, KY",15902
"Clinton, KY",21217
"Crittenden, KY",20716
"Cumberland, KY",18103
"Daviess, KY",27069
"Edmonson, KY",18196
"Elliott, KY",15332
"Estill, KY",18116
"Fayette, KY",34185
"Fleming, KY",18708
"Floyd, KY",20563
"Franklin, KY",29493
"Fulton, KY",24519
"Gallatin, KY",22766
"Garrard, KY",21274
"Grant, KY",22017
"Graves, KY",22044
"Grayson, KY",19955
"Green, KY",18068
"Greenup, KY",24751
"Hancock, KY",21831
"Hardin, KY",28801
"Harlan, KY",18929
"Harrison, KY",23180
"Hart, KY",17884
"Henderson, KY",26963
"Henry, KY",25337
"Hickman, KY",41735
"Hopkins, KY",24270
"Jackson, KY",15524
"Jefferson, KY",36032
"Jessamine, KY",25670
"Johnson, KY",20368
"Kenton, KY",33647
"Knott, KY",18773
"Knox, KY",19440
"Larue, KY",25948
"Laurel, KY",20735
"Lawrence, KY",17632
"Lee, KY",17764
"Leslie, KY",19146
"Letcher, KY",20317
"Lewis, KY",16107
"Lincoln, KY",18765
"Livingston, KY",24827
"Logan, KY",22788
"Lyon, KY",21170
"McCracken, KY",30956
"McCreary, KY",16345
"McLean, KY",24688
"Madison, KY",21608
"Magoffin, KY",17343
"Marion, KY",22403
"Marshall, KY",25945
"Martin, KY",19566
"Mason, KY",25689
"Meade, KY",23627
"Menifee, KY",16066
"Mercer, KY",23351
"Metcalfe, KY",19300
